imm_order,code,R,G,B
CD14_Mono,#F8766D,248,118,109
CD11b/c_CD206_Mac/Mono,#E7851E,231,133,30
neutrophil,#EBBC00,235,188,0
imm_other,#B2A100,178,161,0
CD11c_DC/Mono,#87AB01,135,171,1
CD8_T,#45B500,69,181,0
CD68_Mac,#00BA4F,0,186,79
B_cell,#00C087,0,192,135
CD16_CD14_Mono,#00C0B2,0,192,178
CD206_Mac,#00BCD6,0,188,214
CD4_T,#00B3F2,0,179,242
CD163_Mac,#29A3FF,41,163,255
Treg,#9C8DFF,156,141,255
CD209_DC,#D277FF,210,119,255
gdT_cell,#F166E8,241,102,232
mast,#FF61C7,255,97,199
giant_cell,#FF689E,255,104,158
endothelial,#CC3333,204,51,51
epithelial,#FF9966,255,153,102
fibroblast,#99FF99,153,255,153
immune,#3366FF,51,102,255